"AN";"MM";"JJ";"tn";"tx";"etp";"rg";"p";"hr"
2001;5;8;7.2;24.4;4.4;28.08;0;44
2001;5;9;9.6;21.7;3.4;21.22;0;74
2001;5;10;11.9;24.8;3.4;18.19;2.5;70
2001;5;11;13;26.8;3;13.95;7.5;71
2001;5;12;9;25.1;4.7;29.39;0;57
2001;5;13;8.6;23.5;4;26.21;0;73
2001;5;14;13.8;19;1.4;8.9;0;56
2001;5;15;16.2;24.1;4.9;27.25;0;42
2001;5;16;12.4;19.5;1.4;7.86;0;57
2001;5;17;16.2;22.8;3.3;15.76;0.2;100
2001;5;18;13.1;24.3;5.9;31.12;0;58
2001;5;19;6.8;26.8;5.4;31.67;0;78
2001;5;20;12.1;26.5;3.4;15.55;1.6;96
2001;5;21;14.6;23.9;3.6;17.06;0;54
2001;5;22;12.6;22.5;4.3;25.22;0;58
2001;5;23;14.3;24.9;4.2;22.61;0;49
2001;5;24;12.5;26.8;4.9;27.08;5.4;88
2001;5;25;14.6;29.6;5;23.74;0.4;63
2001;5;26;16.5;29.6;6;28.97;0;96
2001;5;27;14.8;30.5;6;29.5;0;77
2001;5;28;14.5;31.5;6;29.72;0;95
2001;5;29;16.5;32.6;6.5;30.67;0;45
2001;5;30;15.4;31.9;6.3;30.77;0;73
2001;5;31;17;32.7;6.5;28.56;0;80
2001;6;1;13.4;28.3;6;31.95;0;55
2001;6;2;9.5;27.7;6;31.02;0;91
2001;6;3;16.6;25.4;6.7;29.59;0;82
2001;6;4;8.2;27.3;5.7;31.88;0;61
2001;6;5;8.9;25.7;5.1;28.33;4.4;82
2001;6;6;16;26.2;6.3;29.33;0;89
2001;6;7;12.3;28.7;6.3;32.39;0;76
2001;6;8;13;22.1;1.7;8.24;1.8;87
2001;6;9;16.2;23.6;2.6;12.04;5.6;63
2001;6;10;16.5;23;2.1;8.78;6.8;46
2001;6;11;10.1;25.4;5.9;33.4;0;57
2001;6;12;7.8;25.4;5.5;32.65;0;80
2001;6;13;11.4;27.7;5.4;27.88;0;80
2001;6;14;12.7;28.1;6;31.37;0;74
2001;6;15;15.5;25.4;4.3;21.15;5.4;83
2001;6;16;14.9;27.4;6;28.96;0.4;97
2001;6;17;14.9;23.7;6.1;25.69;0;74
2001;6;18;16.2;25.4;6.6;30.85;0;40
2001;6;19;11.3;28.4;6.5;33.28;0;75
2001;6;20;11.9;31.8;6.4;33.27;0;70
2001;6;21;11.9;31.1;5.7;28.29;0;55
2001;6;22;14;34.4;6.3;28.74;0;94
2001;6;23;16.1;33.8;5.6;23.56;0;79
2001;6;24;15.5;31.2;5.6;26.59;0;42
2001;6;25;16.4;31.4;5.6;25.94;0;57
2001;6;26;16.2;29.9;5.8;27.3;0;75
2001;6;27;14;30.9;4.3;17.58;1;80
2001;6;28;17.7;31;6.5;28.96;0;51
2001;6;29;15.3;33;6.5;30.3;0;80
2001;6;30;15.9;36.3;6.8;29.72;0;52
2001;7;1;18.8;34.2;6.8;30.41;0;92
2001;7;2;16;33.8;6.6;30.12;0;96
2001;7;3;15.4;30.5;5.9;28.9;0;43
2001;7;4;19.4;26.4;3.2;13.1;0;73
2001;7;5;19.7;27.9;5.4;22.99;0;57
2001;7;6;19.4;27.6;3.5;12.52;24.6;86
2001;7;7;16;27.6;6.5;29.74;0;62
2001;7;8;16.1;29.1;5.1;22.69;0.2;93
2001;7;9;17.8;29.2;5;22.93;0;72
2001;7;10;16.8;31.7;6.2;27.64;0;86
2001;7;11;19.5;28.5;7.4;31.7;0;100
2001;7;12;17.8;31;7.1;31.93;0;90
2001;7;13;18.9;30.3;6.7;30.31;0;65
2001;7;14;16.4;26.8;3.4;16.31;39.8;79
2001;7;15;15.1;22.8;2.5;10.75;7;64
2001;7;16;11;26.1;5.1;28.42;0;47
2001;7;17;12.1;26.5;5;26.84;0;76
2001;7;18;17.9;26.1;5.1;21.61;0;98
2001;7;19;12.1;23.9;3.4;13.74;0;48
2001;7;20;16;24.8;6.7;30.26;0;51
2001;7;21;10.4;29.5;5.7;31.33;0;67
2001;7;22;12.7;29.8;5.8;30.6;0;64
2001;7;23;14.2;31.7;5.7;28.71;0;44
2001;7;24;17.9;32.9;6.2;29.16;0;46
2001;7;25;15.1;32.9;6;29.67;0;67
2001;7;26;17.2;31.9;5.9;27.94;0;62
2001;7;27;19.9;32.3;5.4;24.03;0;81
2001;7;28;18.7;32.4;4.7;20.59;0;46
2001;7;29;17.1;34.8;6;27.51;0;73
2001;7;30;17.9;36.5;6.4;28.84;0;61
2001;7;31;17.7;34.2;6.1;28.19;0;59
2001;8;1;18.7;37.9;6.3;26.75;0;64
2001;8;2;19.8;29.9;4;17.06;0;56
2001;8;3;19.1;32.1;4.5;18.48;0;62
2001;8;4;16.4;31.5;5.9;26.74;0;98
2001;8;5;13.4;30.5;5.8;29.39;0;73
