"MM";"JJ";"tn";"tx";"etp";"rg";"p";"hr";"dh"
4;21;21.8;29.3;0;18.92;0;0;9.5
4;22;22.1;29.8;0;23.48;0;0;1.6
4;23;21.7;30.5;0;25.15;0;0;0.1
4;24;21.6;29.7;0;16;0;0;8.4
4;25;21.7;30.5;0;23.53;0;0;12.3
4;26;21.9;29.8;0;23.03;0;0;6.3
4;27;24.1;30.4;0;17.19;0;0;0.7
4;28;24;30;0;18.21;0;0;3.1
4;29;23.3;30.3;0;24.9;0;0;9.7
4;30;23;30;0;24.52;0;0;10.9
5;1;23.1;29.6;0;20.43;0;0;10.3
5;2;23;30;0;27.41;0;0;7.3
5;3;22.5;29.8;0;24.92;0;0;9.6
5;4;22.6;29.6;0;12.89;0;0;5.7
5;5;22.3;30.1;0;22.52;0;0;1.3
5;6;22.9;30.4;0;21.31;0;0;7.8
5;7;22.7;29.9;0;21.1;0;0;8.1
5;8;23.4;30.3;0;25.5;0;0;7.1
5;9;22.7;30;0;25.37;0;0;7.8
5;10;22.7;30.3;0;18.31;0;0;11.9
5;11;22.2;29.1;0;13.85;0;0;12.4
5;12;22.3;29.5;0;22.25;0;0;7.4
5;13;22.9;29.3;0;20.72;0;0;13.1
5;14;23.8;29.9;0;24.07;0;0;3.5
5;15;24;29.5;0;19.56;0;0;4.7
5;16;23.5;29.8;0;14.87;0;0;10.3
5;17;23.4;28.2;0;7.64;0;0;16.4
5;18;23.2;29.9;0;24.93;0;0;5.9
5;19;23.1;29.5;0;23.28;0;0;10
5;20;23;29.4;0;21.23;0;0;11.6
5;21;23;29.9;0;23.72;0;0;12.3
5;22;23;29.8;0;22.78;0;0;12.8
5;23;22.6;30.1;0;13.79;0;0;10.7
5;24;22.3;29.9;0;20.83;0;0;8.1
5;25;24.6;30.2;0;23.02;0;0;0
5;26;23.9;30.5;0;22.01;0;0;6.3
5;27;24.4;30.2;0;18.11;0;0;6.2
5;28;23.4;30.1;0;12.83;0;0;8.2
5;29;23.3;32.9;0;21.64;0;0;4.1
5;30;24;31.7;0;23.08;0;0;2.6
5;31;24.5;31;0;16;0;0;6.6
6;1;24.7;30.4;0;19.45;0;0;4.5
6;2;24.5;30.6;0;22.53;0;0;0.5
6;3;23.9;30.9;0;22.82;0;0;0
6;4;24;30.9;0;20.67;0;0;11.6
6;5;23.9;31;0;22.99;0;0;10
