time;"Top model,Crop:CropPhenology.TempEff";"Top model,Crop:CropPhenology.TempMean";"Top model,Crop:CropPhenology.ThermalTime";"Top model,Crop:Unit_0.OutDeposition"
2.45543e+06;20.85;24.85;2056.25;0
2.45543e+06;21.35;25.35;2077.6;0
2.45543e+06;20.85;24.85;2098.45;0
2.45543e+06;21.45;25.45;2119.9;0
2.45544e+06;21;25;2140.9;0
2.45544e+06;21.1;25.1;2162;0
2.45544e+06;22.55;26.55;2184.55;0
2.45544e+06;21.85;25.85;2206.4;0
2.45544e+06;21.6;25.6;2228;0
2.45544e+06;18.95;22.95;2246.95;0
2.45544e+06;16.95;20.95;2263.9;0
2.45544e+06;15.7;19.7;2279.6;0
2.45544e+06;13.75;17.75;2293.35;0
2.45544e+06;17.85;21.85;2311.2;0
2.45544e+06;13.6;17.6;2324.8;0
2.45545e+06;14.1;18.1;2338.9;0
2.45545e+06;18.5;22.5;2357.4;0
2.45545e+06;17.75;21.75;2375.15;0
2.45545e+06;18.6;22.6;2393.75;0
2.45545e+06;14.05;18.05;2407.8;0
2.45545e+06;11.95;15.95;2419.75;0
2.45545e+06;13.15;17.15;2432.9;0
2.45545e+06;13.8;17.8;2446.7;0
2.45545e+06;15.1;19.1;2461.8;0
2.45546e+06;14.05;18.05;2475.85;0
2.45546e+06;16.1;20.1;2491.95;0
2.45546e+06;11.05;15.05;2503;0
2.45546e+06;8.85;12.85;2511.85;0


